Well_ID	MD	TVDSS	ZONE	VSH	SW	RT	PHIT	NTG	K
W01	1632.7067	1564.0965	7	0.6756	0.265	5.835	0.1323	1	54.3924
W01	1633.7067	1565.0954	7	0.6756	0.265	5.835	0.1323	1	54.3924
W01	1634.7067	1566.0943	7	0.6756	0.265	5.835	0.1323	1	54.3924
W01	1635.7067	1567.0931	7	0.6756	0.265	5.835	0.1323	1	54.3924
W01	1636.7067	1568.092	7	0.6756	0.265	5.835	0.1323	1	54.3924
W01	1637.7067	1569.0909	7	0.7588	0.9804	5.1349	0.15	0	0.593
W01	1638.7067	1570.0897	7	0.7588	0.9804	5.1349	0.15	0	0.593
W01	1639.7067	1571.0886		0.7588	0.9804	5.1349	0.15	0	0.593
W01	1640.7067	1572.0875		0.7588	0.9804	5.1349	0.15	0	0.593
W01	1641.7067	1573.0863	7	0.742	0.9783	5.2685	0.1506	0	0.6001
W01	1642.7067	1574.0852	7	0.742	0.9783	5.2685	0.1506	0	0.6001
W01	1643.7067	1575.0841	7	0.742	0.9783	5.2685	0.1506	0	0.6001
W01	1644.7067	1576.0829	7	0.742	0.9783	5.2685	0.1506	0	0.6001
W01	1645.7067	1577.0818	7	0.7418	0.2125	5.2706	0.1698	1	148.0357
W01	1646.7067	1578.0806	7	0.7418	0.2125	5.2706	0.1698	1	148.0357
W01	1647.7067	1579.0795	7	0.7418	0.2125	5.2706	0.1698	1	148.0357
W01	1648.7067	1580.0784	7	0.7418	0.2125	5.2706	0.1698	1	148.0357
W01	1649.7067	1581.0772	7	0.7418	0.2125	5.2706	0.1698	1	148.0357
W01	1650.7067	1582.0761	7	0.7527	0.9762		0.1511	0	0.6071
W01	1651.7067	1583.0749	7	0.7527	0.9762	5.1828	0.1511	0	0.6071
W01	1652.7067	1584.0738	7	0.7527	0.9762	5.1828	0.1511	0	0.6071
W01	1653.7067	1585.0726	7	0.7527	0.9762	5.1828	0.1511	0	0.6071
W01	1654.7067	1586.0715	7	0.7469	0.9785	5.2297	0.1505	0	0.5995
W01	1655.7067	1587.0703		0.7469	0.9785	5.2297	0.1505	0	0.5995
W01	1656.7067	1588.0692	7	0.7469		5.2297	0.1505	0	0.5995
W01	1657.7067	1589.068	7	0.7469	0.9785	5.2297	0.1505	0	0.5995
W01	1658.7067	1590.0668	7	0.7345	0.8744	5.3303	0.1823	0	1.1116
W01	1659.7067	1591.0657	7	0.7345	0.8744	5.3303	0.1823	0	1.1116
W01	1660.7067	1592.0645	7	0.7345	0.8744	5.3303	0.1823	0	1.1116
W01	1661.7067	1593.0634	7	0.7345	0.8744	5.3303	0.1823	0	1.1116
W01	1662.7067	1594.0622	7	0.7345	0.8744	5.3303	0.1823	0	1.1116
W01	1663.7067	1595.061	7	0.7307	0.9291	5.3614	0.1645	0	0.7984
W01	1664.7067	1596.0599	7	0.7307	0.9291	5.3614	0.1645	0	0.7984
W01	1665.7067	1597.0587	7	0.7307	0.9291	5.3614	0.1645	0	0.7984
W01	1666.7067	1598.0575	7	0.7307	0.9291	5.3614	0.1645	0	0.7984
W01	1667.7067	1599.0564	7	0.7264	0.9303	5.3969	0.1641	0	0.7927
W01	1668.7067	1600.0552	7	0.7264	0.9303	5.3969	0.1641	0	0.7927
W01	1669.7067	1601.054	7	0.7264	0.9303	5.3969	0.1641	0	0.7927
W01	1670.7067	1602.0528	7	0.7264	0.9303	5.3969	0.1641	0	0.7927
W01	1671.7067	1603.0517	7	0.7264	0.9303	5.3969	0.1641	0	0.7927
W01	1672.7067	1604.0505	7	0.7518	0.9563	5.1904	0.1566	0	0.6807
W01	1673.7067	1605.0493	7	0.7518	0.9563	5.1904	0.1566	0	0.6807
W01	1674.7067	1606.0481	7	0.7518	0.9563	5.1904	0.1566	0	0.6807
W01	1675.7067	1607.0469	7	0.7518	0.9563	5.1904	0.1566	0	0.6807
W01	1676.7067	1608.0457	7	0.7818	1		0.1373	0	0.4449
W01	1677.7067	1609.0446	7	0.7818	1		0.1373	0	0.4449
W01	1678.7067	1610.0434	7	0.7818	1	4.9565	0.1373	0	0.4449
