Held_Out_Well,Feature,Importance_Mean,Importance_SD
W01,VSH,0.08542494055651957,0.005572664061290875
W01,PHIT,0.2818284493284494,0.010753105292031058
W02,VSH,0.10569947346228281,0.0060306646523377565
W02,PHIT,0.35230914359234955,0.010048668701883222
W03,VSH,0.05328686799925728,0.004673539590383423
W03,PHIT,0.33146691067045037,0.009158180358229916
W04,VSH,0.04410810810810809,0.017426376488427965
W04,PHIT,-0.00033783783783786214,0.00918397109396497
W05,VSH,0.1255887912446449,0.00803996029795551
W05,PHIT,0.27703004865662323,0.006228908248700175
W06,VSH,0.22229325735459238,0.0096042369220133
W06,PHIT,0.2980247866606781,0.011761814467771652
